Art.code;Omschrijving;Brutoprijs;Korting;Nettoprijs;Per;Eenheid;Groepcode;Art.Fab.;Fabrikant;Type rooster;Breedte
306169;RAAMVALSCHAAR 102MM MET ROL  ALUMINIUM GEANODISEERD;9.88;;6.42;1;st;1172;306169;BURGHOUWT;;
306170;RAAMVALIJZER VERZINKT 180X24MM  TBV VALRAMEN;3.36;;2.18;1;st;1172;33851823;AXA;;
306171;RAAMVALSCHAAR 152MM MET ROL  ALUMINIUM GEANODISEERD;10.37;;6.74;1;st;1172;306171;BURGHOUWT;;
306172;VENTILATIEROZET AXA 3760 RVS Ø52MM  3 SCHROEFGAATJES 2,5MM;2.75;;1.92;1;st;7163;37601181;AXA;;
306174;RAAMVALIJZER ZWART 180MM  TBV VALRAMEN + BEVESTIGINGS MATERIAAL;23.79;;15.46;1;st;1172;306174;BURGHOUWT;;
306175;RAAMSLUITING AXA LS 3302 WIT  MET NOK;12.24;;5.88;1;st;1141;33024168E;AXA;;
306176;RAAMSLUITING AXA RS 3302 WIT  MET NOK;12.24;;5.88;1;st;1141;33023168E;AXA;;
306190;RAAMSLUITING AXA RS 3308 WIT  MET NOK/DRUKKNOP;22.82;;10.95;1;st;1141;33083168E;AXA;;
306191;RAAMSLUITING AXA LS 3308 WIT  MET NOK/DRUKKNOP;22.82;;10.95;1;st;1141;33084168E;AXA;;
306193;RAAMSLUITING AXA RS 3308 ZWART  MET NOK/DRUKKNOP;28.61;;13.73;1;st;1141;33083138E;AXA;;
306194;RAAMSLUITING AXA LS 3308 ZWART  MET NOK/DRUKKNOP;28.61;;13.73;1;st;1141;33084138E;AXA;;
306199;SLUITKAST AXA ZAMAC/ZWART VLAK 74X30MM  3307-85-56/E BUITENDRAAIEND;3.32;;1.59;1;st;1143;33078556E;AXA;;
306209;ONDERLEGPLAAT BEVESTIGINGSSET AXA ZAMAC  TBV 3318/19/20 INCL. METAALSCHROEVEN;2.57;;1.28;1;st;1145;33198264;AXA;;
306215;ONDERLEGPLAAT AXA KUNSTSTOF 1MM GRIJS  74X30MM TBV 3318/19/20 ZONDER SCHROEVEN;2.14;;1.07;1;st;1145;33190095;AXA;;
306216;ONDERLEGPLAAT AXA ZAMAC 8MM  TBV 3318/19/20  MET METAAL/HOUTSCHROEVEN;3.27;;1.63;1;st;1145;33198064;AXA;;
306226;SLUITKOM AXA LS OPBOUW SMAL SKG* ZAMAC  74X12MM TBV 3318/3319/3320;14.81;;7.40;1;st;1143;33207764E;AXA;;
306227;SLUITKOM AXA RS OPBOUW SMAL SKG* ZAMAC  74X12MM TBV 3318/3319/3320;14.81;;7.40;1;st;1143;33206764E;AXA;;
306230;SLUITKOM AXA LS OPBOUW BREED SKG* ZAMAC  74X30MM TBV 3318/3319/3320;14.75;;7.37;1;st;1143;33197764E;AXA;;
306231;SLUITKOM AXA RS OPBOUW BREED SKG* ZAMAC  74X30MM TBV 3318/3319/3320;14.75;;7.37;1;st;1143;33196764E;AXA;;
